transcript	si-Ctrl-1
YBR157C_mRNA	0.6431372549019608
YHR164C_mRNA	0.19842312746386334
YGR203W_mRNA	0.5540540540540541
YDR042C_mRNA	0.06
YJR140C_mRNA	0.31856796116504854
YDL209C_mRNA	0.43952802359882004
YGL051W_mRNA	0.0
YKL153W_mRNA	0.011834319526627219
YBL043W_mRNA	0.007782101167315175
YDR313C_mRNA	0.35664335664335667
YDL204W_mRNA	0.017811704834605598
YMR004W_mRNA	0.38747553816046965
YER116C_mRNA	0.40145985401459855
YDR307W_mRNA	0.28700906344410876
YEL021W_mRNA	0.550561797752809
YMR125W_mRNA	0.5331010452961672
YGL028C_mRNA	0.9261992619926199
YGR121W-A_mRNA	0.0
Q0050_mRNA	0.004796163069544364
YDR058C_mRNA	0.2668711656441718
YGR201C_mRNA	0.19111111111111112
YKL092C_mRNA	0.33061594202898553
YML015C_mRNA	0.5260115606936416
YOR349W_mRNA	0.09664694280078895
YLR049C_mRNA	0.5864485981308412
YOR182C_mRNA	0.6507936507936508
YOR042W_mRNA	0.6982968369829684
YGR068W-A_mRNA	0.0
YOR174W_mRNA	0.31690140845070425
YBL087C_mRNA	0.708029197080292
YOR367W_mRNA	0.52
YOR271C_mRNA	0.9143730886850153
YLR456W_mRNA	0.11764705882352941
YDL024C_mRNA	0.03205128205128205
YDL120W_mRNA	0.5689655172413793
YDR538W_mRNA	0.21487603305785125
YKR083C_mRNA	0.5714285714285714
YMR135C_mRNA	0.41098901098901097
YGR048W_mRNA	0.46537396121883656
YIL112W_mRNA	0.27977839335180055
YFL012W-A_mRNA	0.0
YIL111W_mRNA	0.48
YJL096W_mRNA	0.40993788819875776
YNR001W-A_mRNA	0.0
YDR392W_mRNA	0.27299703264094954
YNL334C_mRNA	0.0045045045045045045
YBR140C_mRNA	0.29172056921086675
YNL306W_mRNA	0.5391705069124424
YEL038W_mRNA	0.6211453744493393
YJL039C_mRNA	0.6333927510398099
YNR020C_mRNA	0.45925925925925926
YNL101W_mRNA	0.15988779803646563
YDR480W_mRNA	0.2724458204334365
YKL187C_mRNA	0.010666666666666666
YBL071W-A_mRNA	0.6463414634146342
YDL240C-A_mRNA	0.0
YER091C_mRNA	0.970013037809648
YJR024C_mRNA	0.7868852459016393
Q0275_mRNA	0.007434944237918215
YBL107C_mRNA	0.47959183673469385
YIL140W_mRNA	0.4289185905224787
YJL075C_mRNA	0.0
YCR003W_mRNA	0.41530054644808745
YPL066W_mRNA	0.11064718162839249
YGR043C_mRNA	0.16516516516516516
YDR034C_mRNA	0.39746835443037976
YER164W_mRNA	0.34332425068119893
YGR092W_mRNA	0.3513986013986014
YPL252C_mRNA	0.8197674418604651
YOR241W_mRNA	0.40145985401459855
YGL208W_mRNA	0.2674698795180723
YOR259C_mRNA	0.9244851258581236
YOR107W_mRNA	0.012944983818770227
YBR193C_mRNA	0.6591928251121076
YIL165C_mRNA	0.0
YNL296W_mRNA	0.0
YMR062C_mRNA	0.7165532879818595
YPL044C_mRNA	0.0
YPL265W_mRNA	0.7220394736842105
YOR003W_mRNA	0.04184100418410042
YOL042W_mRNA	0.20385674931129477
YML054C_mRNA	0.02030456852791878
YLR437C-A_mRNA	0.0
YGL038C_mRNA	0.6583333333333333
YDR525W-A_mRNA	0.6455696202531646
YDR467C_mRNA	0.0
YER113C_mRNA	0.42209631728045327
YBL027W_mRNA	0.7566137566137566
YNR056C_mRNA	0.0017825311942959
YDR242W_mRNA	0.009107468123861567
YDL034W_mRNA	0.0
YPL065W_mRNA	0.28512396694214875
YDR300C_mRNA	0.8014018691588785
YGR168C_mRNA	0.1196808510638298
YML099W-A_mRNA	0.0
YKL024C_mRNA	0.8725490196078431
YJL222W-A_mRNA	0.0
YDR405W_mRNA	0.42585551330798477
YNL018C_mRNA	0.0
YKL049C_mRNA	0.6812227074235808
YOR041C_mRNA	0.0
YOR244W_mRNA	0.2292134831460674
YKL094W_mRNA	0.5111821086261981
YFR043C_mRNA	0.4810126582278481
YER090W_mRNA	0.73767258382643
YML067C_mRNA	0.7982954545454546
YJR013W_mRNA	0.3076923076923077
YDR509W_mRNA	0.0
YNL202W_mRNA	0.0547945205479452
YJR005C-A_mRNA	0.010752688172043012
YIL173W_mRNA	0.0012911555842479018
YDL006W_mRNA	0.36298932384341637
YAL027W_mRNA	0.14559386973180077
YDR545W_mRNA	0.0
YGR163W_mRNA	0.3870967741935484
YCL054W-A_mRNA	0.14285714285714285
YIL158W_mRNA	0.35784313725490197
YDR197W_mRNA	0.13881748071979436
YLR357W_mRNA	0.40044994375703036
YPL222C-A_mRNA	0.012345679012345678
YIR032C_mRNA	0.08717948717948718
YNR017W_mRNA	0.7117117117117117
YGL005C_mRNA	0.46953405017921146
YNR059W_mRNA	0.041379310344827586
YGR275W_mRNA	0.6751592356687898
YHR173C_mRNA	0.017857142857142856
YER124C_mRNA	0.8342059336823735
YJL176C_mRNA	0.7248484848484849
YMR143W_mRNA	0.8741258741258742
YBR084W_mRNA	0.7015384615384616
YPR148C_mRNA	0.8137931034482758
YIL034C_mRNA	0.8641114982578397
YDL148C_mRNA	0.7592592592592593
YOL142W_mRNA	0.49166666666666664
YGL099W_mRNA	0.60625
YJR035W_mRNA	0.09585253456221199
YMR052W_mRNA	0.13725490196078433
YBR269C_mRNA	0.7536231884057971
YHL045W_mRNA	0.0
YPL068C_mRNA	0.3993174061433447
YNL072W_mRNA	0.41368078175895767
YDL062W_mRNA	0.0
YNL001W_mRNA	0.4844559585492228
YOR335W-A_mRNA	0.0
YLR386W_mRNA	0.33295454545454545
YLR309C_mRNA	0.5938529088913282
YGL146C_mRNA	0.04501607717041801
YAL039C_mRNA	0.7509293680297398
YBL018C_mRNA	0.6541353383458647
YCR086W_mRNA	0.4368421052631579
YKR010C_mRNA	0.3216601815823606
YER067W_mRNA	0.32298136645962733
YLR466W_mRNA	0.0
YGR128C_mRNA	0.7391304347826086
YGR284C_mRNA	0.867741935483871
YOR228C_mRNA	0.3211920529801324
YIL176C_mRNA	0.0
YPL110C_mRNA	0.43008994276369583
YHR033W_mRNA	0.016548463356973995
YER023C-A_mRNA	0.0
YDR229W_mRNA	0.33774834437086093
YAR030C_mRNA	0.0
YLR217W_mRNA	0.0
YJL222W_mRNA	0.0006455777921239509
YFL011W_mRNA	0.0018315018315018315
YER054C_mRNA	0.0364963503649635
YPL181W_mRNA	0.43280632411067194
YDR057W_mRNA	0.24169741697416974
YMR254C_mRNA	0.0
YDL192W_mRNA	0.8397790055248618
YER130C_mRNA	0.43340857787810383
YHR214W_mRNA	0.0
YCL057W_mRNA	0.6039325842696629
YJR096W_mRNA	0.3262411347517731
YDR365C_mRNA	0.785031847133758
YOL038W_mRNA	0.7755905511811023
YDR386W_mRNA	0.09651898734177215
YJL079C_mRNA	0.8494983277591973
YLR258W_mRNA	0.29645390070921984
YJR059W_mRNA	0.3410757946210269
YGR032W_mRNA	0.23957783641160948
YOL130W_mRNA	0.37834691501746215
YMR323W_mRNA	0.002288329519450801
YOR118W_mRNA	0.2328042328042328
YGR249W_mRNA	0.008771929824561403
YDR476C_mRNA	0.7633928571428571
YGL086W_mRNA	0.253671562082777
YJR152W_mRNA	0.003683241252302026
YEL063C_mRNA	0.8050847457627118
YDL217C_mRNA	0.7632850241545893
YIL134W_mRNA	0.08038585209003216
YER187W_mRNA	0.0
YER135C_mRNA	0.007692307692307693
YOL120C_mRNA	0.6827956989247311
YPL182C_mRNA	0.0
YPR200C_mRNA	0.07692307692307693
YLR339C_mRNA	0.0
YPR108W_mRNA	0.7645687645687645
YPR204W_mRNA	0.0
YJL067W_mRNA	0.0
