si-Ctrl-1	start_codon
transcript_id	codon_1	codon_2	codon_3	codon_4	codon_5	codon_6	codon_7	codon_8	codon_9	codon_10	codon_11	codon_12	codon_13	codon_14	codon_15	codon_16	codon_17	codon_18	codon_19	codon_20	codon_21	codon_22	codon_23	codon_24	codon_25	codon_26	codon_27	codon_28	codon_29	codon_30	codon_31	codon_32	codon_33	codon_34	codon_35	codon_36	codon_37	codon_38	codon_39	codon_40	codon_41	codon_42	codon_43	codon_44	codon_45	codon_46	codon_47	codon_48	codon_49	codon_50	codon_51	codon_52	codon_53	codon_54	codon_55	codon_56	codon_57	codon_58	codon_59	codon_60	codon_61	codon_62	codon_63	codon_64	codon_65	codon_66	codon_67	codon_68	codon_69	codon_70	codon_71	codon_72	codon_73	codon_74	codon_75	codon_76	codon_77	codon_78	codon_79	codon_80	codon_81	codon_82	codon_83	codon_84	codon_85	codon_86	codon_87	codon_88	codon_89	codon_90	codon_91	codon_92	codon_93	codon_94	codon_95	codon_96	codon_97	codon_98	codon_99	codon_100
YMR303C_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.554120	0.000000	0.000000	0.000000	0.000000	1.108239	0.000000	0.000000	0.000000	0.554120	0.000000	2.216478	0.000000	0.554120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.554120	0.000000	0.000000	0.554120	0.000000	0.554120	0.000000	0.554120	0.000000	0.000000	0.554120	0.554120	0.000000	1.108239	0.000000	0.000000	0.554120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.216478	4.987076	205.578352	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
YDR266C_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.004754	1.004754	0.000000	0.000000	0.000000	0.000000	0.000000	0.334918	0.669836	2.009509	0.000000	0.334918	2.009509	1.674591	0.000000	0.669836	1.339672	0.334918	0.000000	0.669836	0.000000	0.000000	0.334918	1.004754	0.669836	0.669836	1.004754	0.334918	0.000000	0.334918	0.334918	1.339672	0.334918	0.000000	0.000000	0.000000	0.000000	0.334918	0.669836	1.339672	2.344427	1.339672	1.674591	0.000000	1.339672	0.669836	2.679345	4.353936	1.004754	0.334918	0.000000	1.674591	0.334918	0.669836	0.334918	0.669836	0.000000	0.669836	0.000000	0.000000	0.000000	0.000000	0.000000	0.334918	1.339672	0.334918	0.000000	0.669836	2.344427	4.353936	3.349181	5.358690	0.000000	0.000000	0.000000	0.669836	3.684099	0.000000	0.000000	0.000000	2.344427	0.000000	0.669836	1.339672	4.688854	0.334918	3.014263	0.669836	0.334918	0.000000	0.000000	0.000000	1.004754	0.334918
YML048W_mRNA	0.000000	0.000000	0.000000	0.000000	0.227039	0.000000	0.227039	0.681118	0.000000	0.227039	2.497433	0.000000	0.000000	5.903023	0.000000	0.000000	2.270394	2.497433	4.540787	0.681118	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.227039	0.000000	0.000000	1.362236	0.000000	0.000000	0.227039	0.000000	1.816315	1.362236	0.227039	0.454079	0.454079	0.681118	0.681118	0.227039	2.270394	1.816315	0.227039	0.000000	1.816315	10.897889	2.497433	3.178551	1.135197	0.681118	0.681118	0.454079	5.448945	0.454079	1.589276	0.227039	4.313748	0.227039	0.454079	4.086708	0.227039	0.000000	3.632630	6.584141	3.405590	1.135197	2.951512	12.714204	0.908157	2.270394	0.681118	0.681118	0.681118	1.135197	1.135197	1.135197	0.227039	3.178551	1.816315	2.043354	0.908157	0.000000	2.724472	4.767827	0.000000	0.000000	0.000000	0.454079	0.000000	2.497433	0.681118	1.135197	2.497433	1.135197	1.589276	1.362236	0.000000	0.227039
YPR155C_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.262397	2.524793	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.262397	0.000000	0.000000	0.000000	0.000000	1.262397	0.000000	1.262397	3.787190	0.000000	0.000000	0.000000	0.000000	0.000000	2.524793	0.000000	0.000000	3.787190	0.000000	0.000000	1.262397	0.000000	5.049587	0.000000	0.000000	1.262397	0.000000	0.000000	3.787190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.262397	0.000000	0.000000	0.000000	0.000000	1.262397	1.262397	1.262397	0.000000	0.000000	0.000000	1.262397	1.262397	2.524793	0.000000	0.000000	0.000000	1.262397	0.000000	0.000000	0.000000	0.000000	0.000000	2.524793	8.836777	1.262397	2.524793	1.262397	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.262397	0.000000	0.000000	0.000000	2.524793	5.049587	0.000000	0.000000	0.000000	1.262397	1.262397	2.524793	2.524793	0.000000	0.000000
YPL260W_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.518072	0.000000	4.554217	0.506024	1.012048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.012048	1.518072	0.000000	0.000000	0.000000	2.530120	0.000000	2.530120	0.506024	2.024096	0.000000	0.000000	3.542169	2.530120	0.000000	2.530120	0.506024	4.048193	8.602410	0.000000	3.036145	3.036145	0.506024	0.506024	0.506024	2.530120	0.506024	1.518072	0.506024	2.024096	2.024096	0.506024	1.012048	0.506024	4.048193	1.518072	0.000000	3.542169	0.506024	2.024096	3.542169	0.000000	2.530120	1.518072	1.518072	1.012048	0.000000	0.506024	8.602410	4.048193	1.012048	0.000000	0.000000	0.000000	1.012048	0.000000	0.000000	1.012048	1.518072	3.542169	0.506024	0.000000	0.000000	1.012048	0.506024	1.012048	0.506024	2.530120	4.554217	9.108434	2.024096	0.000000	0.506024	3.542169	5.060241	1.012048	2.024096	0.000000	1.012048
YBR029C_mRNA	0.000000	0.000000	0.000000	0.000000	0.379992	1.329971	0.189996	0.569987	0.379992	0.379992	0.379992	1.709962	2.469945	2.089954	0.759983	5.319882	1.139975	0.759983	0.189996	0.000000	0.000000	0.000000	0.189996	0.189996	0.000000	0.189996	0.569987	0.000000	0.189996	0.000000	0.000000	0.000000	0.569987	0.569987	2.469945	4.939891	1.519966	1.139975	0.379992	0.379992	0.569987	0.569987	1.139975	3.419924	0.189996	0.000000	0.569987	0.379992	0.569987	0.000000	1.329971	0.189996	1.899958	0.189996	0.000000	0.189996	3.229929	2.849937	0.569987	0.000000	0.379992	0.000000	0.000000	0.379992	4.179908	1.139975	4.939891	5.509878	1.519966	2.659941	0.379992	0.949979	2.849937	1.899958	2.849937	0.189996	0.379992	1.139975	0.000000	0.569987	2.089954	0.000000	4.749895	0.569987	2.849937	5.319882	0.189996	4.559899	1.709962	2.279950	2.849937	3.039933	0.569987	0.000000	0.189996	2.089954	0.189996	1.329971	0.189996	0.379992
YJL001W_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.470325	2.586786	0.000000	0.235162	1.175812	0.235162	0.000000	0.235162	0.352744	2.116461	0.000000	0.000000	0.000000	0.823068	0.117581	0.705487	2.704367	0.000000	8.818589	4.350504	0.000000	0.235162	0.587906	0.470325	1.763718	4.115342	2.704367	0.705487	1.058231	0.470325	0.117581	1.293393	0.352744	0.587906	0.352744	0.000000	0.000000	0.352744	0.352744	0.470325	0.940649	1.881299	3.409854	0.823068	0.705487	3.057111	4.350504	1.528555	0.117581	0.000000	0.352744	1.175812	2.351624	3.997760	2.234043	2.116461	0.823068	3.997760	0.823068	0.000000	0.352744	0.470325	0.823068	0.470325	2.351624	1.058231	1.293393	0.235162	0.705487	2.351624	0.705487	0.705487	3.997760	0.940649	0.235162	1.763718	0.000000	0.000000	0.235162	0.117581	0.117581	1.175812	0.235162	0.000000	1.410974	0.705487	2.351624	5.761478	0.823068	0.705487	0.235162	0.470325	1.410974	0.470325	0.940649
YBL004W_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	1.093626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.093626	1.093626	0.000000	2.187253	22.966154	5.468132	7.655385	21.872527	0.000000	0.000000	2.187253	1.093626	0.000000	1.093626	0.000000	0.000000	0.000000	1.093626	4.374505	0.000000	0.000000	2.187253	0.000000	1.093626	7.655385	5.468132	1.093626	2.187253	0.000000	1.093626	1.093626	3.280879	0.000000	2.187253	0.000000	1.093626	0.000000	0.000000	1.093626	0.000000	2.187253	6.561758	0.000000	3.280879	1.093626	1.093626	0.000000	0.000000	8.749011	14.217143	7.655385	1.093626	1.093626	10.936264	0.000000	1.093626	0.000000	1.093626	0.000000	0.000000	0.000000	0.000000	1.093626	0.000000	1.093626	2.187253	0.000000	0.000000	0.000000	1.093626	0.000000	0.000000	0.000000	0.000000	1.093626	0.000000	0.000000	0.000000	1.093626	0.000000	0.000000	0.000000	3.280879	0.000000
YHR050W_mRNA	0.000000	0.000000	0.000000	0.000000	1.050193	0.000000	0.000000	0.000000	0.000000	0.000000	1.050193	0.000000	0.000000	0.000000	0.000000	0.000000	1.050193	0.000000	1.050193	6.301158	1.050193	0.000000	3.150579	1.050193	0.000000	1.050193	7.351351	16.803089	4.200772	1.050193	1.050193	0.000000	0.000000	5.250965	2.100386	6.301158	4.200772	3.150579	0.000000	3.150579	0.000000	0.000000	0.000000	0.000000	3.150579	5.250965	4.200772	2.100386	1.050193	0.000000	13.652510	12.602317	1.050193	0.000000	1.050193	0.000000	1.050193	16.803089	0.000000	0.000000	1.050193	1.050193	2.100386	9.451737	0.000000	3.150579	0.000000	0.000000	4.200772	1.050193	3.150579	1.050193	1.050193	3.150579	3.150579	0.000000	3.150579	1.050193	0.000000	3.150579	5.250965	0.000000	1.050193	1.050193	0.000000	1.050193	2.100386	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.050193	1.050193	1.050193
YLR133W_mRNA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.019435	0.000000	5.097173	2.038869	1.019435	0.000000	0.000000	0.000000	0.000000	0.000000	2.038869	11.213781	4.077739	1.019435	4.077739	4.077739	1.019435	1.019435	5.097173	0.000000	0.000000	0.000000	1.019435	1.019435	1.019435	5.097173	1.019435	2.038869	1.019435	4.077739	2.038869	4.077739	0.000000	2.038869	0.000000	0.000000	1.019435	3.058304	0.000000	1.019435	0.000000	0.000000	3.058304	0.000000	1.019435	5.097173	0.000000	0.000000	0.000000	3.058304	0.000000	0.000000	0.000000	1.019435	1.019435	0.000000	1.019435	2.038869	1.019435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.038869	0.000000	3.058304	2.038869	0.000000	0.000000	1.019435	4.077739	0.000000	2.038869	0.000000	1.019435	0.000000	0.000000	0.000000	0.000000	2.038869	13.252650	2.038869	0.000000	2.038869	7.136042	2.038869	1.019435	0.000000	0.000000	0.000000	0.000000	0.000000
