sample	start_density	stop_density	start_lower_CI	start_upper_CI	stop_lower_CI	stop_upper_CI
si-Ctrl-1	0.0	0.9620263050875817	0.0	0.0	0.8665492912146937	1.0575033189604697
si-Ctrl-1	0.0	0.9193514157868102	0.0	0.0	0.8351602440077097	1.0035425875659107
si-Ctrl-1	0.0	1.0421892943001854	0.0	0.0	0.9351343755913942	1.1492442130089764
si-Ctrl-1	0.0376945444772979	1.0672567577667487	0.02794000469272965	0.04744908426186615	0.965719663771436	1.1687938517620613
si-Ctrl-1	0.620362167672072	0.9784678791028858	0.5627404287272909	0.677983906616853	0.8871384708815436	1.069797287324228
si-Ctrl-1	0.7543149811494289	1.04905383931549	0.7012619216655234	0.8073680406333343	0.9547382482134642	1.143369430417516
si-Ctrl-1	0.7354582154848751	1.0237070409270357	0.6675319547752392	0.803384476194511	0.932110317385911	1.1153037644681603
si-Ctrl-1	0.6808926732347059	1.1555879948963972	0.6313984923247536	0.7303868541446582	1.0533891757544898	1.2577868140383046
si-Ctrl-1	0.6807633409286393	1.0714554539699896	0.6346603737442621	0.7268663081130166	0.9656468812733854	1.177264026666594
si-Ctrl-1	0.6891660595649532	1.0249763723047467	0.636149756201839	0.7421823629280675	0.932964788218922	1.1169879563905714
si-Ctrl-1	0.760904422255679	1.0580848373698846	0.7076033437828234	0.8142055007285346	0.9575540937171133	1.1586155810226557
si-Ctrl-1	0.7959903676543845	0.9836287011259387	0.7430427273337976	0.8489380079749713	0.8944441960844964	1.072813206167381
si-Ctrl-1	0.7828085913915661	1.068165787975095	0.7294242789133296	0.8361929038698026	0.9815306212367078	1.1548009547134823
si-Ctrl-1	0.8233686206003332	1.0916203758527334	0.7669568590346435	0.879780382166023	0.9904258210895066	1.1928149306159601
si-Ctrl-1	0.8665497933110521	1.1165910379173345	0.8061535982430291	0.926945988379075	1.016685359632336	1.216496716202333
si-Ctrl-1	0.92096665171429	1.093999713136718	0.8609018949249473	0.9810314085036328	0.996531761023358	1.191467665250078
si-Ctrl-1	1.043435039215354	1.0758240437860223	0.9718006699683926	1.1150694084623154	0.9730306955675994	1.1786173920044452
si-Ctrl-1	0.9088097775941759	1.005602366359596	0.8513043233407168	0.966315231847635	0.915325681703862	1.0958790510153302
si-Ctrl-1	1.0728418859301503	1.0271318243232006	0.9986390779966171	1.1470446938636836	0.9364258806682353	1.117837767978166
si-Ctrl-1	1.0967423314287792	1.1333090012591622	1.0291181562654155	1.164366506592143	1.0122163565045652	1.2544016460137593
si-Ctrl-1	1.1863168054214384	1.0524976939971427	1.106313680972921	1.2663199298699557	0.9608892147499816	1.1441061732443039
si-Ctrl-1	1.1440752503224014	1.058389168959128	1.0765440620604383	1.2116064385843646	0.963618988242546	1.1531593496757102
si-Ctrl-1	1.1945131284654762	0.987220158507725	1.1256247147335714	1.263401542197381	0.9008154066725095	1.0736249103429407
si-Ctrl-1	1.2580690781046562	1.0601058902533482	1.1893779713226105	1.3267601848867019	0.9656248384280963	1.1545869420786001
si-Ctrl-1	1.2112122019898615	1.046669482367535	1.148157830677586	1.274266573302137	0.9607220034092478	1.1326169613258223
si-Ctrl-1	1.206304630273358	1.005694513675153	1.1438210853225408	1.2687881752241752	0.9123622220930847	1.0990268052572212
si-Ctrl-1	1.2122116757441515	1.0122320048336042	1.1445038957766807	1.2799194557116222	0.9266008130235883	1.09786319664362
si-Ctrl-1	1.2563562065838498	0.9903496253435425	1.1872806470725197	1.32543176609518	0.9082037263367196	1.0724955243503653
si-Ctrl-1	1.3298503539801727	1.0623500663544467	1.2531980411472778	1.4065026668130676	0.9710392083781807	1.1536609243307128
si-Ctrl-1	1.3169908577707632	1.0229818974658638	1.2414034057305354	1.392578309810991	0.9317991782442172	1.1141646166875103
si-Ctrl-1	1.379978778382921	1.0682869371606476	1.3049277051487278	1.455029851617114	0.9655987924808923	1.170975081840403
si-Ctrl-1	1.3420096514657598	1.0440237259239875	1.2675844926800364	1.4164348102514832	0.9529877884074249	1.13505966344055
si-Ctrl-1	1.3480366021235441	0.9715927961636595	1.2691973525663616	1.4268758516807267	0.8843619093888838	1.058823682938435
si-Ctrl-1	1.4304098258230507	1.0445596407669306	1.354162028016768	1.5066576236293332	0.9540969768282082	1.1350223047056531
si-Ctrl-1	1.412817990196327	1.0687368790122838	1.340025552298687	1.4856104280939668	0.9745364604319119	1.1629372975926557
si-Ctrl-1	1.4075296522915162	1.0109029704841692	1.336325406516758	1.4787338980662743	0.9238152192725047	1.0979907216958338
si-Ctrl-1	1.4564104520562788	1.053294727029609	1.3793902289588214	1.5334306751537363	0.9582817642846796	1.1483076897745383
si-Ctrl-1	1.444330890974118	0.9746796506886044	1.3606046957960745	1.5280570861521614	0.8901609939500692	1.0591983074271396
si-Ctrl-1	1.4122436774395921	1.0804697034994484	1.3372174654410924	1.4872698894380918	0.9875818989595235	1.1733575080393732
si-Ctrl-1	1.3974670271794405	1.0565898783041536	1.3248238530111371	1.4701102013477438	0.9588287433784636	1.1543510132298436
si-Ctrl-1	1.4467637551205348	1.0104984695976833	1.363280941206683	1.5302465690343865	0.9265923643197236	1.094404574875643
si-Ctrl-1	1.3717244638002888	0.927468455066852	1.302410882644998	1.4410380449555795	0.8514330794032928	1.0035038307304112
si-Ctrl-1	1.3710767141112372	1.044387624366007	1.2954928170480051	1.4466606111744693	0.9538199952454711	1.134955253486543
si-Ctrl-1	1.3828854066102887	1.002922203596764	1.3118417511439227	1.4539290620766547	0.917726321908183	1.088118085285345
